image,x1,y1,x2,y2,gt_char,pred_char,pred_conf(%),correct,top2_char,top2_conf(%),top3_char,top3_conf(%),top4_char,top4_conf(%),top5_char,top5_conf(%)
200010454_00016_1,904,725,994,821,に,に,69.4,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,1071,2028,1127,2097,わ,わ,93.9,O,搏,0.0,毯,0.0,喋,0.0,騰,0.0
200010454_00016_1,782,1584,828,1689,き,き,87.3,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,451,2014,524,2103,な,な,84.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1344,1256,1425,1306,い,い,75.3,O,毯,0.0,喋,0.0,搏,0.0,諜,0.0
200010454_00016_1,1479,882,1587,970,を,を,56.8,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200010454_00016_1,1374,466,1437,577,け,け,93.0,O,滸,0.0,睜,0.0,汾,0.0,艚,0.0
200010454_00016_1,1475,1228,1575,1333,お,お,91.9,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1078,1448,1125,1546,ま,ま,87.8,O,喋,0.0,毯,0.0,搏,0.0,惺,0.0
200010454_00016_1,603,1517,713,1625,の,の,72.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1079,1042,1125,1128,に,に,70.0,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,1328,1771,1408,1864,ま,ま,83.5,O,滸,0.0,睜,0.0,艚,0.0,纔,0.0
200010454_00016_1,472,1547,517,1659,す,す,82.8,O,寸,0.0,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,598,1606,709,1683,を,を,56.3,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200010454_00016_1,611,362,705,456,の,の,73.7,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1217,665,1258,783,も,も,84.1,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1034,1938,1150,2010,を,を,44.1,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200010454_00016_1,162,1925,242,1993,い,い,75.8,O,毯,0.0,喋,0.0,搏,0.0,諜,0.0
200010454_00016_1,1048,1578,1149,1665,ほ,ほ,92.6,O,滸,0.0,睜,0.0,區,0.0,纔,0.0
200010454_00016_1,742,1713,840,1763,つ,つ,87.9,O,門,0.0,ツ,0.0,毯,0.0,搏,0.0
200010454_00016_1,898,1697,995,1799,給,給,95.1,O,終,0.0,滸,0.0,結,0.0,跼,0.0
200010454_00016_1,300,1670,402,1765,れ,れ,78.9,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,757,2004,830,2104,て,て,72.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,463,672,537,758,て,て,71.0,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1088,602,1119,711,く,〱,88.1,X,く,0.1,ヽ,0.0,喋,0.0,搏,0.0
200010454_00016_1,941,1323,973,1409,に,に,70.2,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,153,2008,276,2104,ま,ま,82.6,O,滸,0.0,睜,0.0,艚,0.0,纔,0.0
200010454_00016_1,762,1769,834,1826,い,い,76.8,O,毯,0.0,喋,0.0,搏,0.0,舵,0.0
200010454_00016_1,931,1429,981,1534,ま,ま,87.9,O,毯,0.0,喋,0.0,搏,0.0,惺,0.0
200010454_00016_1,780,976,810,1099,く,〱,83.6,X,く,0.3,ヽ,0.0,ゝ,0.0,喋,0.0
200010454_00016_1,934,828,975,941,も,も,83.9,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1508,1868,1538,1929,に,に,70.1,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,1545,373,1584,485,ま,ま,88.2,O,毯,0.0,喋,0.0,搏,0.0,惺,0.0
200010454_00016_1,347,722,413,819,ち,ち,66.4,O,り,0.5,わ,0.0,毯,0.0,搏,0.0
200010454_00016_1,611,1228,700,1337,ひ,ひ,89.0,O,び,0.0,滸,0.0,艚,0.0,睜,0.0
200010454_00016_1,1201,797,1285,953,た,た,80.4,O,毯,0.0,搏,0.0,喋,0.0,舵,0.0
200010454_00016_1,911,1045,1006,1146,の,の,73.0,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,898,1593,980,1687,て,て,70.7,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1489,1481,1539,1586,ま,ま,85.8,O,毯,0.0,喋,0.0,搏,0.0,惺,0.0
200010454_00016_1,608,1954,696,2023,せ,せ,91.8,O,ぜ,0.0,世,0.0,を,0.0,睜,0.0
200010454_00016_1,1511,513,1607,616,ほ,ほ,93.0,O,滸,0.0,睜,0.0,纔,0.0,區,0.0
200010454_00016_1,500,358,534,478,そ,う,30.3,X,そ,11.3,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,1311,1665,1411,1778,れ,れ,83.0,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,1345,1542,1394,1660,く,く,10.2,O,け,1.0,ゝ,0.3,も,0.2,具,0.2
200010454_00016_1,616,2025,655,2109,う,う,88.6,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,300,1285,404,1416,な,な,88.5,O,那,0.0,喋,0.0,毯,0.0,搏,0.0
200010454_00016_1,1075,1728,1110,1837,う,う,89.3,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1497,1116,1567,1227,ち,ち,77.1,O,り,0.1,わ,0.0,毯,0.0,搏,0.0
200010454_00016_1,181,911,247,1011,あ,あ,88.2,O,阿,0.0,毯,0.0,搏,0.0,喋,0.0
200010454_00016_1,749,468,844,614,ろ,れ,11.4,X,ね,2.9,ろ,0.9,の,0.1,毯,0.1
200010454_00016_1,642,874,699,1008,り,り,80.3,O,毯,0.0,搏,0.0,喋,0.0,彿,0.0
200010454_00016_1,1344,356,1447,465,ふ,ふ,85.1,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,159,506,272,594,ふ,ふ,80.7,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,1350,604,1440,717,侍,侍,98.6,O,待,0.0,伝,0.0,備,0.0,竹,0.0
200010454_00016_1,652,457,678,521,み,み,52.0,O,ミ,25.6,之,0.1,三,0.0,跼,0.0
200010454_00016_1,336,616,418,723,の,の,73.7,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,647,1399,679,1514,も,も,84.4,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,632,662,707,770,ち,ち,92.9,O,毯,0.0,ぢ,0.0,搏,0.0,喋,0.0
200010454_00016_1,1225,1382,1271,1471,た,た,82.1,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1363,1413,1394,1522,く,〱,87.3,X,く,0.1,ヽ,0.0,喋,0.0,搏,0.0
200010454_00016_1,429,1909,536,2024,れ,れ,80.4,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,454,1041,526,1128,て,て,71.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1351,1147,1420,1229,て,て,71.0,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,776,1188,819,1278,も,も,84.4,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,500,482,526,551,こ,こ,86.4,O,〻,0.0,毯,0.0,搏,0.0,喋,0.0
200010454_00016_1,631,1815,687,1891,る,る,69.9,O,か,0.0,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,870,1807,1013,1862,へ,へ,86.3,O,ヘ,0.0,喋,0.0,毯,0.0,搏,0.0
200010454_00016_1,1078,897,1124,1041,り,り,80.8,O,毯,0.0,搏,0.0,喋,0.0,彿,0.0
200010454_00016_1,753,1135,841,1187,お,山,3.6,X,や,1.6,此,0.9,へ,0.1,ふ,0.1
200010454_00016_1,322,2006,372,2103,り,り,79.8,O,毯,0.0,搏,0.0,喋,0.0,彿,0.0
200010454_00016_1,1472,1587,1560,1679,す,す,87.4,O,寸,0.0,喋,0.0,毯,0.0,搏,0.0
200010454_00016_1,606,1906,684,1953,御,御,91.9,O,四,0.0,睜,0.0,滸,0.0,ゆ,0.0
200010454_00016_1,1312,1905,1422,1988,ふ,ふ,85.6,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,1373,1321,1409,1411,そ,う,73.0,X,そ,0.3,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,343,939,379,1059,も,も,84.4,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1231,574,1253,650,み,み,87.1,O,ミ,1.1,之,0.0,三,0.0,滸,0.0
200010454_00016_1,1206,1810,1249,1919,た,た,82.2,O,毯,0.0,喋,0.0,搏,0.0,莎,0.0
200010454_00016_1,496,569,523,664,に,に,69.7,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,639,1112,677,1224,ま,ま,85.8,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,474,1153,518,1267,ま,ま,79.3,O,よ,0.1,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,902,975,1007,1041,心,心,96.4,O,滸,0.0,睜,0.0,纔,0.0,艚,0.0
200010454_00016_1,929,495,991,577,く,く,73.6,O,ゝ,0.1,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,166,811,261,900,ろ,つ,87.7,X,門,0.0,ツ,0.0,毯,0.0,搏,0.0
200010454_00016_1,637,540,681,655,た,た,82.2,O,毯,0.0,喋,0.0,搏,0.0,莎,0.0
200010454_00016_1,1206,1933,1240,2078,に,り,56.8,X,に,0.1,毯,0.0,搏,0.0,喋,0.0
200010454_00016_1,950,1154,983,1225,と,と,34.8,O,〱,0.4,毯,0.1,搏,0.1,喋,0.1
200010454_00016_1,778,1276,823,1377,た,た,76.1,O,毯,0.0,〱,0.0,喋,0.0,搏,0.0
200010454_00016_1,950,1227,980,1310,か,か,70.8,O,る,0.0,り,0.0,毯,0.0,喋,0.0
200010454_00016_1,221,420,256,507,も,も,84.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1370,1065,1408,1136,と,と,30.4,O,〱,1.2,毯,0.1,搏,0.1,喋,0.1
200010454_00016_1,1386,906,1403,1044,し,し,71.9,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,1084,1309,1118,1367,こ,こ,89.0,O,ご,0.0,〻,0.0,毯,0.0,搏,0.0
200010454_00016_1,443,1844,530,1901,つ,つ,87.3,O,ツ,0.0,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,361,838,385,934,に,に,55.1,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,486,934,522,1019,た,た,82.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1086,372,1132,474,は,は,74.1,O,ハ,0.0,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,427,1512,582,1564,へ,へ,86.4,O,ヘ,0.0,喋,0.0,毯,0.0,べ,0.0
200010454_00016_1,337,1923,359,2005,よ,よ,87.0,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,1087,478,1129,574,る,る,75.6,O,か,0.0,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,788,1933,811,2000,に,に,68.1,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,1346,725,1446,837,ぬ,ぬ,94.5,O,滸,0.0,汾,0.0,睜,0.0,艚,0.0
200010454_00016_1,736,714,844,851,れ,れ,32.1,O,折,3.7,行,0.2,な,0.1,毯,0.1
200010454_00016_1,1234,1073,1279,1172,た,た,81.8,O,毯,0.0,喋,0.0,搏,0.0,莎,0.0
200010454_00016_1,942,1943,966,2110,し,し,71.5,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,648,1704,673,1759,か,か,80.9,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,433,1293,541,1362,つ,つ,86.7,O,毯,0.0,ツ,0.0,搏,0.0,喋,0.0
200010454_00016_1,193,1014,244,1108,り,り,77.4,O,毯,0.0,搏,0.0,喋,0.0,彿,0.0
200010454_00016_1,1333,847,1480,897,へ,へ,86.0,O,ヘ,0.0,べ,0.0,喋,0.0,毯,0.0
200010454_00016_1,926,1878,967,1938,と,と,18.7,O,〱,3.2,く,0.1,毯,0.1,搏,0.1
200010454_00016_1,1505,988,1557,1109,ま,ま,87.9,O,毯,0.0,喋,0.0,搏,0.0,惺,0.0
200010454_00016_1,652,777,674,872,よ,よ,87.8,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,1182,956,1313,1014,へ,へ,86.2,O,ヘ,0.0,喋,0.0,毯,0.0,搏,0.0
200010454_00016_1,208,625,241,698,こ,〱,5.5,X,く,1.9,て,1.3,〻,0.6,々,0.2
200010454_00016_1,479,1360,521,1426,る,か,78.9,X,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1236,1328,1256,1382,か,か,79.3,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,781,373,813,448,こ,こ,88.0,O,〻,0.0,毯,0.0,ご,0.0,搏,0.0
200010454_00016_1,961,574,989,705,し,し,72.2,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,188,1321,209,1399,に,に,69.5,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200010454_00016_1,154,1708,253,1820,納,細,97.6,X,納,0.0,紙,0.0,胸,0.0,卵,0.0
200010454_00016_1,1075,749,1126,806,は,は,66.9,O,ハ,0.2,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,771,619,795,708,う,う,88.7,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,210,1106,229,1228,し,し,72.6,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,1102,1368,1144,1447,え,え,94.6,O,へ,0.0,之,0.0,元,0.0,〻,0.0
200010454_00016_1,1220,1498,1271,1545,は,は,61.4,O,ハ,0.2,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,1509,1307,1555,1356,は,は,65.5,O,ハ,0.2,毯,0.0,喋,0.0,搏,0.0
200010454_00016_1,198,704,234,804,,た,81.4,,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,1359,1844,1391,1907,と,と,4.5,O,〱,0.7,し,0.1,毯,0.1,搏,0.1
200010454_00016_1,1236,1547,1267,1685,し,し,72.2,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,1228,1021,1253,1071,か,か,81.1,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1503,1673,1531,1744,ら,し,34.9,X,ら,0.1,ゝ,0.1,毯,0.1,搏,0.1
200010454_00016_1,1522,1349,1551,1467,し,し,72.3,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,368,1761,388,1862,し,し,71.4,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,337,1226,356,1281,か,か,80.5,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,486,1444,514,1498,か,か,81.0,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,654,1754,674,1819,,か,9.7,,ゝ,1.6,ヽ,0.3,う,0.2,ら,0.2
200010454_00016_1,800,1397,817,1579,し,し,72.0,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,1564,613,1588,723,し,し,72.6,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,674,1333,688,1445,し,し,72.1,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,930,1546,959,1589,,か,80.9,,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,808,845,844,978,し,し,71.2,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,1086,817,1105,897,か,か,78.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1120,1648,1133,1732,し,し,72.2,O,毯,0.0,喋,0.0,搏,0.0,彿,0.0
200010454_00016_1,150,1819,235,1906,言,て,70.7,X,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,542,886,636,995,吾,吾,99.4,O,告,0.0,悟,0.0,滸,0.0,睜,0.0
200021071_00081_1,1296,2334,1401,2442,教,教,99.4,O,散,0.0,数,0.0,敢,0.0,顔,0.0
200021071_00081_1,1427,534,1532,640,体,体,98.6,O,射,0.0,滸,0.0,仏,0.0,睜,0.0
200021071_00081_1,1466,2578,1545,2677,き,な,61.0,X,き,0.0,花,0.0,毯,0.0,喋,0.0
200021071_00081_1,837,1152,949,1254,酔,酔,98.7,O,障,0.0,滸,0.0,解,0.0,酢,0.0
200021071_00081_1,398,1399,498,1499,聞,聞,96.9,O,肉,0.0,今,0.0,字,0.0,買,0.0
200021071_00081_1,1726,1739,1854,1832,今,今,97.0,O,金,0.0,滸,0.0,汾,0.0,睜,0.0
200021071_00081_1,710,2447,812,2550,成,成,96.3,O,城,0.1,或,0.0,涙,0.0,睜,0.0
200021071_00081_1,1736,1008,1838,1095,又,又,96.6,O,夫,0.0,文,0.0,滸,0.0,睜,0.0
200021071_00081_1,259,2578,370,2687,依,依,92.8,O,衣,0.2,俗,0.1,俵,0.0,偽,0.0
200021071_00081_1,1579,784,1676,883,程,程,96.9,O,様,0.0,滸,0.0,睜,0.0,鱊,0.0
200021071_00081_1,395,1276,509,1375,人,人,93.5,O,滸,0.0,睜,0.0,汾,0.0,纔,0.0
200021071_00081_1,1308,2210,1398,2305,犬,犬,99.1,O,伏,0.0,大,0.0,笑,0.0,火,0.0
200021071_00081_1,1442,1384,1534,1489,成,成,97.6,O,城,0.0,睜,0.0,汾,0.0,滸,0.0
200021071_00081_1,1748,1608,1842,1718,来,来,98.2,O,米,0.0,束,0.0,滸,0.0,木,0.0
200021071_00081_1,539,1023,651,1113,又,又,96.4,O,文,0.0,夫,0.0,滸,0.0,睜,0.0
200021071_00081_1,262,2221,353,2321,る,類,92.4,X,る,0.4,滸,0.0,顔,0.0,赫,0.0
200021071_00081_1,106,2459,204,2560,者,者,97.2,O,滸,0.0,睜,0.0,纔,0.0,屐,0.0
200021071_00081_1,999,897,1094,1004,篭,篭,98.9,O,蔵,0.0,竜,0.0,来,0.0,箱,0.0
200021071_00081_1,701,1496,793,1608,聞,聞,97.2,O,睜,0.0,汾,0.0,滸,0.0,赫,0.0
200021071_00081_1,413,1155,490,1249,里,里,98.4,O,黒,0.0,甲,0.0,男,0.0,滸,0.0
200021071_00081_1,436,2823,513,2931,来,来,98.2,O,米,0.0,束,0.0,木,0.0,滸,0.0
200021071_00081_1,693,1018,791,1122,の,の,72.7,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,1299,1144,1393,1236,を,を,58.5,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200021071_00081_1,1007,2461,1104,2555,の,の,73.5,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,1591,539,1666,645,は,は,78.4,O,ハ,0.0,喋,0.0,毯,0.0,搏,0.0
200021071_00081_1,1299,1260,1382,1358,哉,哉,99.0,O,或,0.0,刻,0.0,弐,0.0,越,0.0
200021071_00081_1,1156,1966,1232,2070,用,用,98.2,O,滸,0.0,睜,0.0,鬣,0.0,熇,0.0
200021071_00081_1,1002,1032,1091,1111,に,に,68.7,O,喋,0.0,毯,0.0,搏,0.0,貶,0.0
200021071_00081_1,1444,1748,1536,1851,え,え,96.6,O,之,0.0,へ,0.0,元,0.0,〻,0.0
200021071_00081_1,106,1371,192,1471,ほ,ほ,93.6,O,滸,0.0,ぼ,0.0,睜,0.0,纔,0.0
200021071_00081_1,854,1400,951,1500,後,後,95.6,O,滸,0.0,睜,0.0,艚,0.0,纔,0.0
200021071_00081_1,1457,2228,1541,2318,す,す,90.4,O,寸,0.0,ず,0.0,次,0.0,喋,0.0
200021071_00081_1,1147,780,1244,856,に,に,67.8,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200021071_00081_1,1755,2563,1859,2655,ぬ,ぬ,95.7,O,滸,0.0,睜,0.0,汾,0.0,艚,0.0
200021071_00081_1,1306,2822,1397,2907,主,主,98.1,O,滸,0.0,睜,0.0,艚,0.0,舐,0.0
200021071_00081_1,407,1756,485,1859,て,て,72.0,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,109,2584,208,2669,に,に,67.4,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200021071_00081_1,1140,1609,1239,1710,有,有,96.4,O,滸,0.0,睜,0.0,跼,0.0,蜩,0.0
200021071_00081_1,1303,2954,1420,3039,人,人,93.2,O,滸,0.0,睜,0.0,汾,0.0,纔,0.0
200021071_00081_1,1287,1028,1385,1115,何,何,53.7,O,あ,12.8,阿,0.4,河,0.1,藿,0.0
200021071_00081_1,859,1272,936,1375,て,て,71.1,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,105,2345,207,2433,仕,仕,96.1,O,使,0.0,滸,0.0,蜩,0.0,汾,0.0
200021071_00081_1,1141,1251,1245,1345,ゑ,ゑ,97.4,O,え,0.0,衛,0.0,滸,0.0,蜩,0.0
200021071_00081_1,571,2460,655,2563,声,声,98.2,O,都,0.0,多,0.0,滸,0.0,睜,0.0
200021071_00081_1,1141,650,1227,756,篭,篭,96.9,O,蔵,0.7,竜,0.0,発,0.0,飛,0.0
200021071_00081_1,1007,1274,1089,1369,先,先,97.4,O,光,0.0,え,0.0,滸,0.0,睜,0.0
200021071_00081_1,1156,1848,1230,1946,て,て,71.6,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,1751,1967,1836,2064,つ,つ,87.5,O,ツ,0.0,毯,0.0,喋,0.0,搏,0.0
200021071_00081_1,404,2120,512,2207,や,や,88.6,O,毯,0.0,喋,0.0,ヤ,0.0,搏,0.0
200021071_00081_1,280,2458,360,2540,に,に,71.2,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200021071_00081_1,1456,2106,1553,2196,参,参,98.4,O,薬,0.0,集,0.0,急,0.0,滸,0.0
200021071_00081_1,1755,2086,1840,2169,所,所,96.1,O,滸,0.0,熇,0.0,纔,0.0,蜩,0.0
200021071_00081_1,704,1384,799,1471,を,を,61.5,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200021071_00081_1,103,1019,186,1104,に,に,72.1,O,毯,0.0,喋,0.0,搏,0.0,貶,0.0
200021071_00081_1,1589,903,1674,976,主,主,98.1,O,滸,0.0,睜,0.0,艚,0.0,虯,0.0
200021071_00081_1,123,2224,191,2312,召,召,99.0,O,古,0.0,呂,0.0,石,0.0,百,0.0
200021071_00081_1,565,2351,650,2435,大,大,58.1,O,人,3.7,て,0.4,天,0.2,火,0.1
200021071_00081_1,122,2936,203,3039,を,を,59.1,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200021071_00081_1,1131,896,1234,976,様,様,96.9,O,滸,0.0,睜,0.0,跼,0.0,峙,0.0
200021071_00081_1,1599,1853,1696,1940,ゑ,ゑ,97.4,O,え,0.0,衛,0.0,滸,0.0,蜩,0.0
200021071_00081_1,281,2340,357,2441,是,是,94.8,O,滸,0.0,睜,0.0,蜩,0.0,纔,0.0
200021071_00081_1,555,1993,663,2079,や,や,88.4,O,毯,0.0,喋,0.0,ヤ,0.0,搏,0.0
200021071_00081_1,569,2944,668,3033,お,お,92.1,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200021071_00081_1,869,1509,935,1620,爰,爰,98.4,O,夏,0.0,字,0.0,麦,0.0,滸,0.0
200021071_00081_1,1305,1725,1394,1836,る,る,80.0,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200021071_00081_1,1581,1020,1682,1118,人,人,93.4,O,滸,0.0,睜,0.0,汾,0.0,纔,0.0
200021071_00081_1,997,1143,1088,1246,行,行,87.4,O,断,1.1,斯,0.0,折,0.0,滸,0.0
200021071_00081_1,120,1861,191,1956,其,其,96.8,O,滸,0.0,睜,0.0,跼,0.0,纔,0.0
200021071_00081_1,1154,1728,1239,1820,行,尋,78.5,X,得,1.2,侍,0.1,待,0.0,那,0.0
